commentId,text,author,authorChannelId,publishedAt,updatedAt,likeCount,replyCount
UgxJZlhoPVe3rfz5gB54AaABAg,after all these years i still feel bad for mc,@Jygflow,UC8lyhg3gb0Rehu3bLeMwrkA,2025-10-23T19:58:17Z,2025-10-23T19:58:17Z,0,0
UgzEIv5c5OKDrCtr8Sp4AaABAg,As a league player i really want to try dota after watching this . is there any truesight like videos for league of legends?,@alirezamashreghi1,UCifncpFeWEDlGHzjM6KMuRw,2025-10-23T16:47:19Z,2025-10-23T16:47:19Z,0,0
UgxYD5psRTbY2LN_MGR4AaABAg,"I think they high ground too early, wait for heart bb ,",@XyrusGarcia-t4g,UCPNf7guFJLLxB9-mrFT4C3g,2025-10-23T05:03:05Z,2025-10-23T05:03:05Z,0,0
UgxD-GgpHfAiadDlDnF4AaABAg,This is the  routine after Truesight Ti 8 go to Ti 9,@doni3116,UCqTfd4_rwR1wHprG46CwrOA,2025-10-21T21:54:18Z,2025-10-21T21:54:18Z,0,0
UgxDXFpGHupSCVI8vjh4AaABAg,that diffusal on gyro is game changing for game 4,@9ineful,UCAIFvntit56P41dWSmNLrMg,2025-10-21T20:11:47Z,2025-10-21T20:11:47Z,0,0
UgxeZjLLmgYDQoku_Px4AaABAg,shouldnt give them io,@fozydatequila,UCD_iMDTyrptK-Zn5fCSOG2A,2025-10-19T09:13:48Z,2025-10-19T09:13:48Z,0,0
UgyrV64P62cZHQDeP5l4AaABAg,41:40,@deadplock,UCNQKTvoxxF3p7-cApXhOU2Q,2025-10-18T23:49:05Z,2025-10-18T23:49:05Z,0,0
UgzfeKk-7XB0ky_Most4AaABAg,I just realized this Kuro is the worst lead,@allanmarcelino3488,UCcPSVNzYw9ADTdVMI-8bpbQ,2025-10-18T15:44:04Z,2025-10-18T15:44:04Z,0,0
UgxqNZM73rylUJrvfjt4AaABAg,Mind control loss his mind..😂,@firdausmohamad4713,UC1nqWkWVNclVLJD0REwDRVA,2025-10-17T14:20:11Z,2025-10-17T14:20:11Z,0,0
Ugw7kX6gd7kdaZCDRl94AaABAg,video is broken now. please fix,@anti-gun7222,UC-SB3TrwlCK5K1k14RrFEtg,2025-10-16T03:52:08Z,2025-10-16T03:52:08Z,0,0
UgwgCkans6gZjFsEqTV4AaABAg,Mind control is fking noob,@gabbilardizabal2136,UCwiCZdelBXzpHGr7YajROBQ,2025-10-15T04:57:45Z,2025-10-15T04:57:45Z,0,0
UgwE7Qf2vx7ex410NqF4AaABAg,Game 1 - notail did not admit that it's his fault ana dint buyback,@paulmarave5193,UCbTwsbEPaddj7H1FUyhdKMA,2025-10-13T13:29:22Z,2025-10-13T13:29:22Z,0,0
UgxrYvaVNjMWU_uiOsV4AaABAg,MIRACLE should've been captain! Kuroky doesnt know what hes talking about!,@oza_gaming2,UClw4EaNlFROHWZPJYPbm6vg,2025-10-13T03:43:15Z,2025-10-13T03:43:15Z,0,0
UgxARQg0uvPXzYCKiaB4AaABAg,Absolute cinema,@RCmcgg,UCntvh0YeMy6hmHiLQS_qB0Q,2025-10-13T01:44:16Z,2025-10-13T01:44:16Z,0,0
Ugx-MYS-YoqocMncNt14AaABAg,"Lol, OG picked Tiny in all games and Liquid decided: Meh, it's not a problem.",@paralyzer2304,UCn40YwQHxx5WaI8sYlVBeQw,2025-10-12T05:47:50Z,2025-10-12T05:47:50Z,0,0
UgyXsT7D8HIcFY5w1qp4AaABAg,"40:20 is sus,W33",@henryholians9912,UCMIlJtmvCeOhl9hV_vBcLJQ,2025-10-11T21:22:49Z,2025-10-11T21:22:49Z,0,0
Ugz8V-1ZSjc1-4ESx4N4AaABAg,25:49 is where topson godly peaked,@henryholians9912,UCMIlJtmvCeOhl9hV_vBcLJQ,2025-10-11T21:06:09Z,2025-10-11T21:06:09Z,0,0
UgxVnDRev-6jwVZYWqx4AaABAg,"40:43 They're talking about gorilla, monkey and shit, and then someone handed Notail a banana lol.",@SpringautumnVincenzo,UC9Ro00h9tNyTqayLQJSFp5w,2025-10-11T13:50:39Z,2025-10-11T13:50:39Z,0,0
Ugz2RA21gtHrzsMZKPN4AaABAg,40:10 Even Notail had to step in and stop Ceb and Socks' unhinged statement and gesture on camera 😂.,@SpringautumnVincenzo,UC9Ro00h9tNyTqayLQJSFp5w,2025-10-11T13:46:30Z,2025-10-11T13:46:30Z,0,0
Ugw9N4w5jzl2iHzwEw14AaABAg,"the aggression and dominance of OG 2019 is unmatched
they stomped through every single team, there was no TI that a team send a stronger message to the rest than OG ti 9

so strong, so dominant, incredible performance",@Burgir23,UCSI_nuiLh0EhKiZmW-ceuqw,2025-10-10T04:19:44Z,2025-10-10T04:19:44Z,0,0
UgwSLuEUi0imDkx1lt94AaABAg,create true sight TI14 TEam falcons vs Xtreme gaming please,@DaveTavera,UCcvzWx7L-LwrnBvSTYmGNEw,2025-10-09T12:49:45Z,2025-10-09T12:49:45Z,0,0
UgznWHxAtWweyTbUDfd4AaABAg,"Kuro :  we are the calmest 
Also kuro : they made us angry 🤣🤣🤣
2025 anyone?",@PaulEspada-b5i,UC2egXPHcP-1MrAE3Wzr5HEw,2025-10-09T08:23:20Z,2025-10-09T08:23:20Z,0,0
Ugyi5SHqJQAHIrtV-rd4AaABAg,Ceb: W33 tinker doesnt bully anthing 😂🤣,@JongGenuino,UCOknEbITwBfVf2USuIbot4g,2025-10-09T05:07:35Z,2025-10-09T05:07:35Z,0,0
UgyTRA__TjVmikIqQEB4AaABAg,"The last game is for ana and topson they carried the game and the rest support at the back to sustain the whole team in the clash 

  n0tail and ceb is so much thankful they found ana and topson, ofcourse jerAx too coz of he has a lot of experienced and a TI champ also way back then. Like kuroky said jerax is so good when they are formerly teammates",@emmanuelkulangot1796,UC-2IxyTLANGBtNIETmeqyUg,2025-10-07T10:48:10Z,2025-10-07T10:48:10Z,0,0
Ugy9JoiKNL_4r80zkux4AaABAg,"Miracle: I win my last my last BB game
Ana mfking IO :15 straight wins, 48-8 on IO",@vierjavier,UCdlZl8x7UqsAVtX7h631p5w,2025-10-07T07:36:26Z,2025-10-07T07:36:26Z,0,0
Ugz_g6ejrkNgJYGSeTd4AaABAg,"Just watching this 

It's a 3-0 if ana buy back damn what a good true sight it's insane",@Kiranatics,UCnxghPS8tQ98H7tFf17RTcA,2025-10-07T06:22:04Z,2025-10-07T06:22:04Z,0,0
UgyYLE47BqoiitkWicF4AaABAg,October 2025 and still one of the best true sight.,@briannealix8928,UC4YVXglZrYQHDhn_zoUBVrg,2025-10-06T14:57:05Z,2025-10-06T14:57:05Z,0,0
UgzfEqOU4dHP7r20oBV4AaABAg,I feel bad for this glasssses guy from Liquid.....Kuro ego fuckkkk them up,@LarryZShorts,UCJtJyePHPUPOOa4IJ-O844g,2025-10-06T04:04:12Z,2025-10-06T04:15:59Z,0,0
UgxLbLSEJ0TtwE1RKm94AaABAg,This is so good for us😂,@Shihan-z2y,UCAuD8Oerk_OsF2EHyIUwrog,2025-10-05T18:20:37Z,2025-10-13T19:49:39Z,0,0
UgwYoIxKlIGgF3zvlOt4AaABAg,It was 3-1 and Liquid's 1 win wasn't even convincing,@lIlzerolIll,UCSt_IoaAfhXZ3P7qrVqN3Ew,2025-10-05T13:53:13Z,2025-10-05T13:53:13Z,2,0
Ugy1leJ7YN9KZnmOSfh4AaABAg,The Gyro Io combo you'd think is safelane gyro and io pos 5 but OG made it both main cores what a team.,@blueatlasplug,UCv-QcE7OvlB8jZpJX9bakCQ,2025-10-05T11:34:13Z,2025-10-05T11:34:13Z,0,0
UgzCv8tF4YwAkFrm6cV4AaABAg,Kuro treated W33 like shit man. This guy needs to retired,@dracoreiner4790,UC2CnlJD_7mfBP3qs8NveISA,2025-10-05T10:03:25Z,2025-10-05T10:03:25Z,0,0
UgwOqN4sCfHscSKIHcR4AaABAg,This movie aged like a fkin wine.,@CreepyCrawlers-1,UCpHo8rBdKZV6ZmWscYm-OEQ,2025-10-05T06:26:58Z,2025-10-05T06:26:58Z,0,0
UgxVF1w4_6tVILIbRUd4AaABAg,TINY ALWAYS IN THE GAME,@Akashi_1998,UCQeRwzRQg1tKtP-fFWjUfNQ,2025-10-04T19:29:16Z,2025-10-04T19:29:16Z,0,0
Ugy32fAha1oXbl2d6cJ4AaABAg,the best dota team all time,@janangelomaghuyop3194,UCmkUX2FQ9YP7qWJu29szi-g,2025-10-04T19:20:26Z,2025-10-04T19:20:26Z,0,0
Ugw1Wt_Su5jeTc4HAix4AaABAg,2025,@rovicwillow,UC3r5Xee0lYEgI1ZJoA43Omg,2025-10-04T12:59:00Z,2025-10-04T12:59:00Z,0,0
Ugz4RBC4lFA6avck7wl4AaABAg,"It was the best period of Dota! It was not only about the game, but about the emotions, people, money pool",@topvideo6165,UCZH4wDISbWULsDdNA56mRXA,2025-10-04T09:33:24Z,2025-10-04T09:33:24Z,0,0
UgxSZxm_Tv6z3mEyX1R4AaABAg,"1:00:29 this moment really removed any doubt that Kuro just isn't a good captain. 

Disgustingly flippant attitude, disrespectful comment and does not have his friends back in the most important moment. 

Tired from playing semis or not, he consistently doesn't listen to good commentary from team mates and coaches.

Bad player",@Spoderman12144,UCH8D1cHHloEQllTaa42oScg,2025-10-04T00:40:00Z,2025-10-04T00:40:00Z,0,0
UgzsvskgIdcd6OeJUcB4AaABAg,I'M FROM THE FUTUREE,@kevindamaso8252,UC8I0DBcEyoxkPK8t8YxBBEw,2025-10-04T00:18:43Z,2025-10-04T00:18:43Z,0,0
UgyT9xy6MC84YYoyPP54AaABAg,Oct 2025 UpdATE: Coming back to watch this 🔥.,@vahidmirkhani,UChoT_38NiEuBwy3TgrfTYvg,2025-10-03T21:07:21Z,2025-10-03T21:07:21Z,1,0
Ugyg_YigDz4YU0lazd54AaABAg,29:48 why do people keep picking monkey mid? XD,@rafael.arrelucea,UCyB1dDO8174t0N59XS9eJ5A,2025-10-03T03:44:25Z,2025-10-03T03:44:25Z,1,0
UgymKrq9HNTBHaFzRKl4AaABAg,"Every time I watch this, I can’t help but wonder — what if Kuro had listened to their coach during the draft? more epic",@chrisosano3943,UC1SLuqXVRANgcDDnD5dvNRw,2025-10-02T05:34:11Z,2025-10-02T05:34:11Z,0,0
Ugx16XJfuk4IgTbonM94AaABAg,"This TI was so hard on Mind_Control, to be in his shoes knowing that each game that they lost was because of him and his captain is not listening to his thoughts.",@edoy8530,UCzrpPxhQd4y7OxU4e-oXwaw,2025-10-01T17:14:00Z,2025-10-01T17:14:00Z,0,0
Ugwwabz9yZlh2XBM_2F4AaABAg,"Just like True Sight 2018, this one is a must watch each year for motivation and inspiration. Btw Valve, please being back the compendium. If devs are burned out making it, hire more devs! Dota2 still has a stable player base in 2025. Of all changes in Dota, from a player who has played over 8 years, I miss the compendium and the hype it generates. It gives us an amazing prize pool that the community can support and adds satisfying rewards",@crebstar,UCdXdk1PjPd1TKteJ0jxTX4Q,2025-09-30T18:04:25Z,2025-09-30T18:04:25Z,0,0
Ugx4YXgif--PVSX2ZYV4AaABAg,October 2025 anyone?still watching this masterpiece?,@shiddiqfauzan,UCO9xkGGsmhmFN8nlaWW_v5Q,2025-09-30T10:52:31Z,2025-09-30T10:52:31Z,0,1
UgyC-XT_C4VNZkBQ1GN4AaABAg,Masterpiece,@alejandrorecoba5125,UCpCCpUWR76AdmvzhR3MY64g,2025-09-30T05:20:46Z,2025-09-30T05:20:46Z,0,0
Ugw49xJZXsIOksPXT3N4AaABAg,W33 should just all game meepo drop the TA.,@syafiqrasyid5918,UCVY4vVCf83wcL_mfFNXfoJQ,2025-09-29T06:55:28Z,2025-09-29T06:55:28Z,0,0
Ugz6VAK46BBtqpKw3Ux4AaABAg,"OG : pick what the players want to play .  
Liquid : pick the same shit all over again by kuro . Poor MC . That’s why he left the roster .",@oanxem9118,UCu-CTS7k_TtUgotVHjRY-UA,2025-09-28T12:56:30Z,2025-09-28T12:56:30Z,0,0
UgxjUGiRMxCfDLIQ76B4AaABAg,MC so close to unhinging and crashing out on kuroky,@Trvppvdutch,UCL8OMwnmfIFF-e7FLE3yZzg,2025-09-28T11:16:41Z,2025-09-28T11:16:41Z,0,0
Ugx_T8PaUmI9KtLRhKx4AaABAg,Kuroky such a bad influence for the team really bad,@RahulChaudhary-tl8qe,UC-S91bn6I8D52Pm7VHjGiwQ,2025-09-28T09:38:01Z,2025-09-28T09:38:01Z,0,0
UgyIK7gVUlzSibPZbdd4AaABAg,Lost because of baldy kuro.,@LeafyPeach,UCXTJJ5vAw9w3R2Hi5YVyLcw,2025-09-28T09:09:26Z,2025-09-28T09:09:26Z,0,0
UgwCMwKJQThuJ2jsvHp4AaABAg,Still the best TI finals to date,@kendrickaudrey4755,UCDw7PYznGIeEE4N-tXJBhzw,2025-09-28T05:46:24Z,2025-09-28T05:46:24Z,0,0
UgxbQWRLGAnnrFak9PN4AaABAg,"I cant count how many times i watched this video. I realised that every draft phase, liquid is always building for their strategy, but OG, theyre not just do that, but they also think what the opponents next move. Like  playing chess. ❤",@fahamvshafal7002,UC7lLiYFJ2Vi9EVQRCSmCzmQ,2025-09-27T17:31:00Z,2025-09-27T17:31:00Z,0,0
UgwDN5O43uqL4eysbfR4AaABAg,38:17,@toratora7208,UC9BvMJ1WFeImBM4WoXHzo7w,2025-09-27T03:58:26Z,2025-09-27T03:58:26Z,0,0
Ugw36tEUHJ_yR36BfUd4AaABAg,"In last 7years today I realize what OG really means

""Only gods"" 😮 All of them are gods of dota2. 
Jerax god of supp
Ceb god of axe
Ana god of carry
Notial god of draft picks
Topson god of mid

if they not disband as today. They still dominating and winning atleast 6Ti's in a row.",@ZaiaGolez,UCGFzoWo_UtD_a7jLiMQv-DQ,2025-09-26T13:50:46Z,2025-09-26T13:50:46Z,0,0
UgxeetoKepekdMT-K_N4AaABAg,"Golden Age of Dota 2 is Ti8 when the chinese competitive scene was at it's peak against European teams, and then two teams going head-to-head to grab the Aegis for the second time in DotA 2 History. And there were no META items, or META heroes, because OG played their greatest with wild-card drafting. Not to mention this was the first time DotA 2 updated the fountain to prevent fountain-farming Ana!",@Relixification,UCxZ99NgwHDcGuhRr7mwYRZA,2025-09-26T11:54:26Z,2025-09-26T11:54:26Z,1,0
UgzhO-pIVPrB2q7HPJB4AaABAg,This was the last True sight,@elyjaygofredo8836,UCh-X_Tfr4UoSSmlOw49UsvA,2025-09-26T08:19:18Z,2025-09-26T08:19:18Z,1,0
UgwhKkzt3Bq-u_LC4nh4AaABAg,"W33HA : why do people pick monkey mid🤨
Topson : proceed to bully TA 😂😂",@markramo2633,UCG64M3oZvFXAXfDlm0t_Ilg,2025-09-26T06:56:22Z,2025-09-26T06:56:22Z,0,0
Ugw29Af_mufWxOq7i054AaABAg,1:09:10 diffuse on gyro bro had to look at it again just to be sure this is actually happening lmao,@TresStrom,UCr9TiXVmEjQarqKHmHWKdXQ,2025-09-25T16:50:52Z,2025-09-25T16:50:52Z,1,0
Ugy9telxr15-ue5Oewt4AaABAg,"My favorite thing about this video is 10 of the best players in the world can't decide if it's a good meepo game, and even after the game it's unclear if it was",@junewalker9341,UC7fE3LYXRsW8tcYX8KTBI9g,2025-09-25T13:00:06Z,2025-09-25T13:00:06Z,3,1
UgxJsH4QL9JYl9Obsbp4AaABAg,MC is  going to explode everytime he got killed.,@DJRICH-t8i,UCAUel6amnkhYNRkozD6IPPw,2025-09-25T12:43:28Z,2025-09-25T12:43:28Z,0,0
Ugw5TFvv9aTh9GF92Gd4AaABAg,ana io madafakaaaas!!!,@chupapi6999,UCdTlTF2wQitRz_bkLSav5yg,2025-09-25T12:24:04Z,2025-09-25T12:24:04Z,1,0
UgwXufdhzduL4xNhDhx4AaABAg,"Ana io carry folks. Let me repeat that that. No many how many meta changes , updates and patches. Ana brought a 3k MMR meme hero to win a TI grand final game. Godly",@humbledog9423,UCdNkPSJWTHP8k7-PHJOp7wA,2025-09-25T11:32:20Z,2025-09-25T11:32:20Z,1,0
UgyxV16xIg0MAWhtURV4AaABAg,I’m definitely coming back for more.,@RethaAsia,UCzIz2NotNqLDS4WJ_BVxjyg,2025-09-25T10:29:12Z,2025-09-25T10:29:12Z,0,0
UgxNcHGT32hXECrrlwh4AaABAg,Kuro is not a great captain here. He doesn't listen.,@jeff312able,UCN8TBONcEdYnXzIfZuqeZ6A,2025-09-25T06:26:22Z,2025-09-25T06:26:22Z,1,0
UgyTROj0kWGbVefVA2Z4AaABAg,"MC: Don't pick our heroes right away
Kuro: LETS FUCKING GO",@bilobeloxxi,UCynYb-7AHnn6od6b8Xhtr5w,2025-09-25T05:43:05Z,2025-09-25T05:43:05Z,1,1
UgxojiZM-qXiYa-Qm-B4AaABAg,TOPSON YEAR,@ube2022,UCpwrgzK0FgJvlB93KfnzgDQ,2025-09-25T04:25:49Z,2025-09-25T04:25:49Z,0,0
UgyJ3Ghm6lF7BPU9BkV4AaABAg,"Miracle: You're the best ""CHEN"" after all.

KuroKy: ohhh F*CK OFF. ✨💅🏻",@clydesanchez4452,UC_LvGrzG2X5_Mnrj4HWOgwA,2025-09-24T13:25:39Z,2025-09-24T13:25:39Z,1,0
